Zeitstempel,"Mir war jederzeit klar, was ich tun sollte.",Ich konnte ungestört arbeiten.,Ich war die ganze Stunde über aktiv bei der Sache.,"Ich habe anderen etwas erklärt, ihnen Fragen gestellt oder ihnen Rückmeldung gegeben.",Ich habe in dieser Unterrichtsstunde etwas dazu gelernt.,Ich habe mich in dieser Unterrichtsstunde wohl gefühlt.,Ich habe mich mit meinen Partner gut verstanden.,Ich habe mich gut in das Paar und die gemeinsamen Aufgaben eingeordnet.,Ich habe meinem Partner aufmerksam zugehört und bin auf seine Beiträge während der Programmierung auch eingegangen.,"Ich wurde von meinem Partner unterstützt, wenn ich Hilfe gebraucht habe."
2024/05/25 12:27:10 PM OESZ,3,4,4,3,4,3,4,4,4,4
2024/05/25 12:21:10 PM OESZ,1,3,3,4,2,2,4,3,3,3
2024/05/25 12:29:10 PM OESZ,3,3,2,3,2,3,2,4,2,3
2024/05/25 11:56:10 AM OESZ,4,3,3,3,3,2,3,3,2,4
2024/05/25 12:34:10 PM OESZ,3,4,3,4,1,3,3,4,3,3
2024/05/25 11:55:10 AM OESZ,4,4,4,4,3,3,3,4,3,2
2024/05/25 11:58:10 AM OESZ,3,3,3,2,1,4,3,3,3,4
2024/05/25 12:07:10 PM OESZ,3,3,4,4,3,4,3,4,3,2
2024/05/25 12:17:10 PM OESZ,4,3,4,3,4,3,1,4,4,3
2024/05/25 12:02:10 PM OESZ,2,3,1,4,3,4,4,3,3,4
2024/05/25 12:03:10 PM OESZ,3,2,3,4,3,3,4,3,3,4
2024/05/25 12:01:10 PM OESZ,1,3,2,4,2,2,3,4,3,3
2024/05/25 12:22:10 PM OESZ,3,3,3,4,2,3,2,3,2,4
2024/05/25 12:07:10 PM OESZ,3,4,4,4,3,2,3,4,4,3
2024/05/25 12:03:10 PM OESZ,4,4,3,4,2,2,4,3,1,4
2024/05/25 11:59:10 AM OESZ,4,3,3,3,4,3,2,3,4,3
2024/05/25 11:58:10 AM OESZ,3,3,3,4,4,3,3,3,3,3
2024/05/25 11:59:10 AM OESZ,3,4,2,3,3,3,3,2,3,2
2024/05/25 12:24:10 PM OESZ,4,4,4,3,2,4,2,3,2,4
2024/05/25 12:26:10 PM OESZ,4,3,3,4,4,4,2,4,4,3
2024/05/25 12:25:10 PM OESZ,3,3,3,4,3,1,3,4,3,4
2024/05/25 12:06:10 PM OESZ,2,3,3,4,1,2,2,4,2,4
2024/05/25 12:01:10 PM OESZ,2,3,3,3,3,3,4,3,3,3
